date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,61.88947368421053,40.45789473684211,376.2105263157895,20.352631578947367,7.021052631578947,97.6842105263158,0.9831578947368421,10.68421052631579,2.0,,
2022-08-05,49.8125,34.65416666666667,469.4583333333333,23.383333333333336,5.166666666666667,91.125,0.86875,1.4583333333333333,0.6395833333333333,107.3157894736842,70.78947368421052
2022-08-06,53.53333333333333,37.19583333333333,475.2083333333333,27.870833333333334,7.608333333333333,88.375,0.6725,1.5,1.9312500000000001,102.20833333333333,67.58333333333333
2022-08-07,51.25,35.454166666666666,434.375,28.2375,7.9875,76.25,0.6845833333333333,1.9166666666666667,1.4083333333333332,104.875,70.04166666666667
2022-08-08,36.3375,24.8125,368.5,17.683333333333334,4.966666666666667,90.41666666666667,0.4379166666666667,2.625,1.9270833333333333,90.33333333333333,64.0
2022-08-09,49.21666666666667,30.59583333333333,341.0,13.395833333333334,6.45,92.25,0.4916666666666667,15.208333333333334,1.9791666666666667,86.04166666666667,63.208333333333336
2022-08-10,40.987500000000004,20.195833333333333,249.45833333333334,8.725,5.620833333333334,91.41666666666667,0.26666666666666666,35.833333333333336,2.3979166666666667,77.54166666666667,55.083333333333336
2022-08-11,38.5875,17.545833333333334,232.75,9.770833333333334,4.8,79.5,0.31,40.0,1.6395833333333334,63.041666666666664,41.166666666666664
2022-08-12,30.575,16.979166666666668,280.375,15.091666666666667,5.354166666666667,67.08333333333333,0.33166666666666667,20.5,1.0020833333333334,61.625,36.541666666666664
2022-08-13,22.075,13.566666666666668,244.29166666666666,14.341666666666667,4.408333333333333,50.0,0.16708333333333333,8.625,0.8500000000000001,57.666666666666664,31.041666666666668
